+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|              4656 |  8 |   WAITING |     READY |
|              4656 |  8 |     READY |   RUNNING |
|              4696 |  8 |   RUNNING |   WAITING |
|              4707 |  8 |   WAITING |     READY |
|              4707 |  8 |     READY |   RUNNING |
|              4747 |  8 |   RUNNING |   WAITING |
|              4758 |  8 |   WAITING |     READY |
|              4758 |  8 |     READY |   RUNNING |
|              4798 |  8 |   RUNNING |   WAITING |
|              4809 |  8 |   WAITING |     READY |
|              4809 |  8 |     READY |   RUNNING |
|              4849 |  8 |   RUNNING |   WAITING |
|              4860 |  8 |   WAITING |     READY |
|              4860 |  8 |     READY |   RUNNING |
|              4865 |  8 |   RUNNING |TERMINATED |
+------------------------------------------------+
Throughput: 4865
Average response time: 77.199997
Average turnaround time: 4336.799805
Average wait time: 3136.799805
