+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|              1172 | 44 |   RUNNING |   WAITING |
|              1203 | 14 |   WAITING |     READY |
|              1203 | 14 |     READY |   RUNNING |
|              1210 | 60 |   WAITING |     READY |
|              1211 | 14 |   RUNNING |   WAITING |
|              1211 | 60 |     READY |   RUNNING |
|              1212 | 44 |   WAITING |     READY |
|              1223 | 60 |   RUNNING |   WAITING |
|              1223 | 44 |     READY |   RUNNING |
|              1234 | 44 |   RUNNING |   WAITING |
|              1254 | 14 |   WAITING |     READY |
|              1254 | 14 |     READY |   RUNNING |
|              1262 | 14 |   RUNNING |   WAITING |
|              1274 | 44 |   WAITING |     READY |
|              1274 | 44 |     READY |   RUNNING |
|              1281 | 60 |   WAITING |     READY |
|              1285 | 44 |   RUNNING |   WAITING |
|              1285 | 60 |     READY |   RUNNING |
|              1294 | 60 |   RUNNING |TERMINATED |
|              1305 | 14 |   WAITING |     READY |
|              1305 | 14 |     READY |   RUNNING |
|              1308 | 14 |   RUNNING |TERMINATED |
|              1325 | 44 |   WAITING |     READY |
|              1325 | 44 |     READY |   RUNNING |
|              1333 | 44 |   RUNNING |TERMINATED |
+------------------------------------------------+
Throughput: 1333
Average response time: 7.166667
Average turnaround time: 1158.166626
Average wait time: 158.166626
