+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1065 |             0 |  TERMINATED |
|  18 |          4 |   10 |           16 |       1175 |           345 |       READY |
|  15 |         -1 |   33 |           22 |       1205 |             0 |  TERMINATED |
|  33 |          3 |    8 |           22 |       1133 |           179 |       READY |
|  68 |          2 |   21 |           23 |        944 |           331 |     WAITING |
+-----------------------------------------------------------------------------------+
time: 1967; Process 33: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1065 |             0 |  TERMINATED |
|  18 |          4 |   10 |           16 |       1914 |           177 |     WAITING |
|  15 |         -1 |   33 |           22 |       1205 |             0 |  TERMINATED |
|  33 |         -1 |    8 |           22 |       1938 |             0 |  TERMINATED |
|  68 |          2 |   21 |           23 |       1814 |            64 |       READY |
+-----------------------------------------------------------------------------------+
time: 2031; Process 68: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1065 |             0 |  TERMINATED |
|  18 |          4 |   10 |           16 |       1914 |           177 |       READY |
|  15 |         -1 |   33 |           22 |       1205 |             0 |  TERMINATED |
|  33 |         -1 |    8 |           22 |       1938 |             0 |  TERMINATED |
|  68 |         -1 |   21 |           23 |       1967 |             0 |  TERMINATED |
+-----------------------------------------------------------------------------------+
time: 2530; Process 18: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1065 |             0 |  TERMINATED |
|  18 |         -1 |   10 |           16 |       2521 |             0 |  TERMINATED |
|  15 |         -1 |   33 |           22 |       1205 |             0 |  TERMINATED |
|  33 |         -1 |    8 |           22 |       1938 |             0 |  TERMINATED |
|  68 |         -1 |   21 |           23 |       1967 |             0 |  TERMINATED |
+-----------------------------------------------------------------------------------+
