+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1646 |             0 |  TERMINATED |
|  18 |          4 |   10 |           16 |       1522 |           273 |       READY |
|  15 |         -1 |   33 |           22 |       1432 |             0 |  TERMINATED |
|  33 |          3 |    8 |           22 |       1492 |            89 |       READY |
|  68 |          2 |   21 |           23 |       1546 |            64 |       READY |
+-----------------------------------------------------------------------------------+
time: 1804; Process 68: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1646 |             0 |  TERMINATED |
|  18 |          4 |   10 |           16 |       1716 |           249 |       READY |
|  15 |         -1 |   33 |           22 |       1432 |             0 |  TERMINATED |
|  33 |          3 |    8 |           22 |       1686 |            59 |       READY |
|  68 |         -1 |   21 |           23 |       1740 |             0 |  TERMINATED |
+-----------------------------------------------------------------------------------+
time: 1931; Process 33: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1646 |             0 |  TERMINATED |
|  18 |          4 |   10 |           16 |       1834 |           225 |       READY |
|  15 |         -1 |   33 |           22 |       1432 |             0 |  TERMINATED |
|  33 |         -1 |    8 |           22 |       1902 |             0 |  TERMINATED |
|  68 |         -1 |   21 |           23 |       1740 |             0 |  TERMINATED |
+-----------------------------------------------------------------------------------+
time: 2570; Process 18: Terminated
+-----------------------------------------------------------------------------------+
| PID |  Partition | Size | Arrival Time | Start Time |Remaining Time |      State  |
+-----------------------------------------------------------------------------------+
|   4 |         -1 |    7 |            0 |       1646 |             0 |  TERMINATED |
|  18 |         -1 |   10 |           16 |       2561 |             0 |  TERMINATED |
|  15 |         -1 |   33 |           22 |       1432 |             0 |  TERMINATED |
|  33 |         -1 |    8 |           22 |       1902 |             0 |  TERMINATED |
|  68 |         -1 |   21 |           23 |       1740 |             0 |  TERMINATED |
+-----------------------------------------------------------------------------------+
